Time, Susceptible, Infected, Recovered, Dead
1,1099,1,0,0
2,1099,1,0,0
3,1099,1,0,0
4,1099,1,0,0
5,1099,1,0,0
6,1098,2,0,0
7,1098,2,0,0
8,1098,2,0,0
9,1098,2,0,0
10,1097,3,0,0
11,1097,3,0,0
12,1097,3,0,0
13,1097,3,0,0
14,1097,3,0,0
15,1096,4,0,0
16,1095,5,0,0
17,1095,5,0,0
18,1095,5,0,0
19,1095,5,0,0
20,1095,5,0,0
21,1095,5,0,0
22,1095,5,0,0
23,1093,7,0,0
24,1093,7,0,0
25,1092,8,0,0
26,1092,8,0,0
27,1092,8,0,0
28,1091,9,0,0
29,1091,9,0,0
30,1091,9,0,0
31,1090,10,0,0
32,1088,12,0,0
33,1088,12,0,0
34,1088,12,0,0
35,1088,12,0,0
36,1086,14,0,0
37,1086,14,0,0
38,1084,16,0,0
39,1084,16,0,0
40,1083,17,0,0
41,1083,17,0,0
42,1083,17,0,0
43,1082,18,0,0
44,1081,19,0,0
45,1079,21,0,0
46,1079,21,0,0
47,1078,22,0,0
48,1077,23,0,0
49,1077,23,0,0
50,1076,24,0,0
51,1076,24,0,0
52,1074,26,0,0
53,1070,30,0,0
54,1067,33,0,0
55,1064,36,0,0
56,1062,38,0,0
57,1060,40,0,0
58,1058,42,0,0
59,1056,44,0,0
60,1054,46,0,0
61,1053,46,1,0
62,1052,47,1,0
63,1050,49,1,0
64,1050,49,1,0
65,1049,50,1,0
66,1046,52,2,0
67,1044,54,2,0
68,1043,55,2,0
69,1039,59,2,0
70,1037,60,3,0
71,1034,63,3,0
72,1030,67,3,0
73,1024,73,3,0
74,1020,77,3,0
75,1018,78,4,0
76,1013,82,5,0
77,1010,85,5,0
78,1009,86,5,0
79,1004,91,5,0
80,1000,95,5,0
81,995,100,5,0
82,984,111,5,0
83,980,113,7,0
84,976,117,7,0
85,971,121,8,0
86,965,127,8,0
87,956,136,8,0
88,949,142,9,0
89,947,144,9,0
90,943,148,9,0
91,937,153,10,0
92,932,156,11,1
93,926,162,11,1
94,922,166,11,1
95,912,176,11,1
96,910,176,13,1
97,905,181,13,1
98,901,183,15,1
99,895,189,15,1
100,890,193,16,1
101,883,200,16,1
102,873,210,16,1
103,869,213,16,2
104,862,219,17,2
105,855,224,19,2
106,849,230,19,2
107,841,237,20,2
108,834,243,21,2
109,826,251,21,2
110,821,255,22,2
111,816,260,22,2
112,809,265,24,2
113,800,270,28,2
114,794,273,31,2
115,790,274,32,4
116,786,276,34,4
117,779,281,36,4
118,766,292,37,5
119,761,295,39,5
120,754,300,40,6
121,745,308,41,6
122,733,319,42,6
123,721,329,44,6
124,715,335,44,6
125,712,337,45,6
126,704,342,48,6
127,696,348,50,6
128,689,354,51,6
129,680,359,54,7
130,672,365,56,7
131,667,367,58,8
132,657,373,62,8
133,644,380,66,10
134,639,381,70,10
135,637,381,72,10
136,632,381,77,10
137,625,385,80,10
138,617,392,81,10
139,609,395,86,10
140,605,395,89,11
141,596,399,94,11
142,587,397,103,13
143,580,400,106,14
144,573,403,109,15
145,567,404,114,15
146,559,406,119,16
147,550,406,127,17
148,543,406,132,19
149,534,413,134,19
150,526,417,138,19
151,521,416,144,19
152,518,414,149,19
153,503,423,155,19
154,498,424,159,19
155,491,421,169,19
156,486,424,171,19
157,478,427,175,20
158,469,432,179,20
159,462,433,185,20
160,457,433,189,21
161,448,435,195,22
162,440,433,204,23
163,433,436,207,24
164,426,436,212,26
165,415,440,217,28
166,409,440,222,29
167,406,435,229,30
168,400,434,236,30
169,391,435,243,31
170,385,436,248,31
171,377,439,252,32
172,374,435,259,32
173,369,431,267,33
174,361,433,273,33
175,356,434,276,34
176,353,433,280,34
177,347,432,287,34
178,343,423,297,37
179,334,427,301,38
180,323,431,308,38
181,317,428,317,38
182,315,418,329,38
183,309,412,341,38
184,306,409,346,39
185,297,415,349,39
186,291,413,356,40
187,284,412,364,40
188,276,413,370,41
189,268,412,379,41
190,264,408,387,41
191,263,404,392,41
192,256,401,401,42
193,251,393,414,42
194,249,390,419,42
195,245,392,421,42
196,240,392,426,42
197,237,388,432,43
198,230,387,439,44
199,225,384,446,45
200,222,383,450,45
201,219,377,459,45
202,216,371,466,47
203,211,369,472,48
204,208,365,478,49
205,203,364,483,50
206,202,357,490,51
207,200,350,499,51
208,196,347,506,51
209,194,340,515,51
210,188,338,523,51
211,184,337,528,51
212,183,335,531,51
213,182,321,545,52
214,182,316,550,52
215,181,310,557,52
216,178,308,561,53
217,178,300,569,53
218,176,293,578,53
219,174,288,585,53
220,174,283,590,53
221,172,276,599,53
222,170,270,606,54
223,168,265,613,54
224,167,259,619,55
225,165,250,630,55
226,164,245,636,55
227,163,243,639,55
228,162,238,645,55
229,162,229,654,55
