Time, Susceptible, Infected, Recovered, Dead
1,1099,1,0,0
2,1099,1,0,0
3,1099,1,0,0
4,1099,1,0,0
5,1099,1,0,0
6,1099,1,0,0
7,1099,1,0,0
8,1099,1,0,0
9,1099,1,0,0
10,1099,1,0,0
11,1099,1,0,0
12,1099,1,0,0
13,1098,2,0,0
14,1097,3,0,0
15,1097,3,0,0
16,1097,3,0,0
17,1096,4,0,0
18,1094,6,0,0
19,1093,7,0,0
20,1093,7,0,0
21,1092,8,0,0
22,1091,9,0,0
23,1089,11,0,0
24,1088,12,0,0
25,1087,13,0,0
26,1084,16,0,0
27,1082,18,0,0
28,1082,18,0,0
29,1081,19,0,0
30,1080,20,0,0
31,1079,21,0,0
32,1078,22,0,0
33,1077,23,0,0
34,1075,25,0,0
35,1073,27,0,0
36,1072,28,0,0
37,1071,29,0,0
38,1069,31,0,0
39,1068,32,0,0
40,1066,34,0,0
41,1065,35,0,0
42,1063,37,0,0
43,1062,38,0,0
44,1058,42,0,0
45,1056,44,0,0
46,1055,45,0,0
47,1055,45,0,0
48,1055,45,0,0
49,1051,49,0,0
50,1047,53,0,0
51,1040,60,0,0
52,1039,61,0,0
53,1035,65,0,0
54,1031,69,0,0
55,1027,73,0,0
56,1023,77,0,0
57,1016,84,0,0
58,1010,90,0,0
59,1004,96,0,0
60,997,103,0,0
61,994,105,0,1
62,988,111,0,1
63,984,115,0,1
64,981,118,0,1
65,974,125,0,1
66,969,130,0,1
67,962,137,0,1
68,954,145,0,1
69,949,150,0,1
70,943,156,0,1
71,938,161,0,1
72,933,166,0,1
73,930,168,1,1
74,920,177,2,1
75,910,187,2,1
76,902,195,2,1
77,899,197,3,1
78,889,205,4,2
79,885,208,4,3
80,873,220,4,3
81,866,226,5,3
82,862,229,6,3
83,854,235,8,3
84,845,243,9,3
85,839,248,10,3
86,833,251,13,3
87,825,257,15,3
88,815,267,15,3
89,806,275,16,3
90,797,283,17,3
91,784,295,18,3
92,764,314,19,3
93,755,322,20,3
94,751,324,22,3
95,745,328,24,3
96,735,337,24,4
97,720,351,25,4
98,709,360,27,4
99,697,371,28,4
100,680,386,30,4
101,668,397,31,4
102,651,412,32,5
103,637,425,33,5
104,619,439,36,6
105,608,448,38,6
106,593,462,39,6
107,581,474,39,6
108,560,495,39,6
109,548,503,41,8
110,530,517,45,8
111,517,523,51,9
112,503,536,52,9
113,490,545,56,9
114,476,555,59,10
115,466,561,63,10
116,455,568,67,10
117,442,574,73,11
118,420,590,79,11
119,406,598,85,11
120,394,603,92,11
121,381,613,95,11
122,369,619,101,11
123,353,631,104,12
124,333,648,107,12
125,315,659,111,15
126,304,665,116,15
127,291,671,123,15
128,281,673,130,16
129,268,681,135,16
130,254,689,141,16
131,247,691,145,17
132,234,699,149,18
133,230,700,150,20
134,219,701,159,21
135,204,706,169,21
136,195,707,176,22
137,185,714,179,22
138,179,710,186,25
139,173,712,190,25
140,164,709,200,27
141,153,713,205,29
142,149,713,209,29
143,147,707,215,31
144,142,703,223,32
145,137,702,228,33
146,130,703,234,33
147,128,697,241,34
148,122,693,249,36
149,117,689,258,36
150,113,684,267,36
151,108,676,279,37
152,106,658,299,37
153,103,652,308,37
154,96,655,311,38
155,90,655,317,38
156,83,652,324,41
157,79,641,337,43
158,75,634,346,45
159,70,627,356,47
160,65,615,369,51
161,65,603,380,52
162,62,589,397,52
163,59,578,410,53
164,59,560,427,54
165,58,550,437,55
166,55,538,451,56
167,54,527,463,56
168,50,510,484,56
169,49,499,494,58
170,48,482,511,59
171,46,471,521,62
172,45,458,533,64
173,45,445,544,66
174,44,432,558,66
175,43,423,566,68
176,42,413,573,72
177,41,401,584,74
178,38,382,605,75
179,38,368,616,78
180,36,358,626,80
181,36,345,636,83
182,36,333,648,83
183,35,318,662,85
184,35,298,678,89
185,35,280,691,94
186,34,270,701,95
187,34,257,713,96
188,34,247,722,97
189,34,234,732,100
190,33,221,745,101
191,33,214,752,101
192,33,201,764,102
193,31,199,768,102
194,31,188,779,102
195,31,173,791,105
196,31,164,799,106
197,31,154,809,106
198,31,148,814,107
199,30,143,819,108
200,29,135,826,110
201,29,124,835,112
202,29,120,839,112
203,29,118,841,112
204,29,113,846,112
205,29,108,851,112
206,29,101,858,112
207,29,99,860,112
208,29,93,865,113
209,29,88,870,113
210,29,84,874,113
211,29,79,877,115
212,29,77,878,116
213,29,74,881,116
214,29,67,887,117
215,29,61,893,117
216,29,54,900,117
217,29,50,903,118
218,29,46,906,119
219,29,41,910,120
220,29,36,915,120
221,29,36,915,120
222,29,33,917,121
223,29,30,920,121
224,29,30,920,121
225,29,29,921,121
226,29,26,924,121
227,29,25,925,121
228,29,21,929,121
229,28,21,930,121
230,28,20,931,121
231,28,18,932,122
