Time, Susceptible, Infected, Recovered, Dead
1,1099,1,0,0
2,1099,1,0,0
3,1099,1,0,0
4,1099,1,0,0
5,1099,1,0,0
6,1099,1,0,0
7,1099,1,0,0
8,1099,1,0,0
9,1099,1,0,0
10,1099,1,0,0
11,1099,1,0,0
12,1099,1,0,0
13,1099,1,0,0
14,1099,1,0,0
15,1099,1,0,0
16,1099,1,0,0
17,1099,1,0,0
18,1099,1,0,0
19,1099,1,0,0
20,1099,1,0,0
21,1099,1,0,0
22,1099,1,0,0
23,1099,1,0,0
24,1099,1,0,0
25,1099,1,0,0
26,1099,1,0,0
27,1099,1,0,0
28,1099,1,0,0
29,1099,1,0,0
30,1099,1,0,0
31,1099,1,0,0
32,1099,1,0,0
33,1099,1,0,0
34,1099,1,0,0
35,1099,1,0,0
36,1099,1,0,0
37,1099,1,0,0
38,1099,1,0,0
39,1099,1,0,0
40,1099,1,0,0
41,1099,1,0,0
42,1099,1,0,0
43,1099,1,0,0
44,1098,2,0,0
45,1098,2,0,0
46,1098,2,0,0
47,1098,2,0,0
48,1098,2,0,0
49,1098,2,0,0
50,1098,2,0,0
51,1098,2,0,0
52,1098,2,0,0
53,1098,2,0,0
54,1098,2,0,0
55,1097,3,0,0
56,1096,4,0,0
57,1095,5,0,0
58,1094,6,0,0
59,1094,6,0,0
60,1093,7,0,0
61,1092,7,1,0
62,1092,7,1,0
63,1091,8,1,0
64,1091,8,1,0
65,1091,8,1,0
66,1091,8,1,0
67,1091,8,1,0
68,1091,8,1,0
69,1091,8,1,0
70,1091,8,1,0
71,1091,8,1,0
72,1091,8,1,0
73,1091,8,1,0
74,1090,9,1,0
75,1090,9,1,0
76,1090,9,1,0
77,1090,9,1,0
78,1090,9,1,0
79,1088,11,1,0
80,1086,13,1,0
81,1086,13,1,0
82,1083,16,1,0
83,1081,18,1,0
84,1081,18,1,0
85,1079,20,1,0
86,1077,22,1,0
87,1074,25,1,0
88,1074,25,1,0
89,1072,27,1,0
90,1072,27,1,0
91,1071,28,1,0
92,1070,29,1,0
93,1070,29,1,0
94,1067,32,1,0
95,1067,32,1,0
96,1063,36,1,0
97,1060,39,1,0
98,1055,44,1,0
99,1052,47,1,0
100,1050,49,1,0
101,1046,53,1,0
102,1042,57,1,0
103,1038,61,1,0
104,1037,61,2,0
105,1032,66,2,0
106,1029,69,2,0
107,1025,73,2,0
108,1022,76,2,0
109,1017,81,2,0
110,1012,86,2,0
111,1005,93,2,0
112,1002,96,2,0
113,999,99,2,0
114,990,108,2,0
115,989,108,3,0
116,983,113,4,0
117,978,117,5,0
118,968,126,5,1
119,957,137,5,1
120,946,147,5,2
121,938,154,6,2
122,932,160,6,2
123,929,162,7,2
124,922,169,7,2
125,917,174,7,2
126,911,180,7,2
127,902,189,7,2
128,894,197,7,2
129,885,206,7,2
130,874,217,7,2
131,862,229,7,2
132,847,244,7,2
133,837,254,7,2
134,826,264,8,2
135,814,276,8,2
136,804,286,8,2
137,793,297,8,2
138,781,309,8,2
139,767,321,10,2
140,760,326,12,2
141,753,333,12,2
142,750,333,14,3
143,733,348,16,3
144,722,359,16,3
145,705,374,18,3
146,696,381,20,3
147,682,392,23,3
148,665,409,23,3
149,650,422,24,4
150,632,440,24,4
151,623,448,25,4
152,603,467,26,4
153,583,487,26,4
154,563,504,29,4
155,552,515,29,4
156,540,523,33,4
157,529,531,35,5
158,506,549,39,6
159,494,558,42,6
160,477,573,44,6
161,468,578,47,7
162,454,588,51,7
163,436,602,55,7
164,418,619,56,7
165,401,631,61,7
166,385,644,63,8
167,377,648,67,8
168,363,659,70,8
169,346,671,74,9
170,336,676,79,9
171,327,678,85,10
172,315,687,88,10
173,303,696,90,11
174,296,694,97,13
175,282,707,98,13
176,270,713,103,14
177,257,721,107,15
178,248,720,117,15
179,234,723,127,16
180,224,722,136,18
181,217,721,144,18
182,205,727,149,19
183,198,731,152,19
184,188,734,158,20
185,184,733,163,20
186,178,733,168,21
187,172,730,177,21
188,165,729,184,22
189,162,723,192,23
190,153,721,202,24
191,152,710,211,27
192,146,701,224,29
193,141,696,233,30
194,134,692,244,30
195,127,687,254,32
196,123,681,263,33
197,119,674,274,33
198,116,665,285,34
199,112,655,297,36
200,111,649,303,37
201,110,643,310,37
202,106,644,313,37
203,105,628,329,38
204,102,620,340,38
205,98,607,354,41
206,92,604,363,41
207,88,594,373,45
208,84,581,389,46
209,82,568,403,47
210,82,550,419,49
211,78,545,427,50
212,76,527,445,52
213,72,511,464,53
214,69,494,481,56
215,68,484,491,57
216,66,474,502,58
217,66,463,513,58
218,65,441,534,60
219,61,433,544,62
220,61,416,560,63
221,57,411,568,64
222,57,397,582,64
223,57,379,599,65
224,57,361,613,69
225,57,344,629,70
