Time, Susceptible, Infected, Recovered, Dead
1,1098,2,0,0
2,1098,2,0,0
3,1098,2,0,0
4,1098,2,0,0
5,1098,2,0,0
6,1098,2,0,0
7,1098,2,0,0
8,1098,2,0,0
9,1098,2,0,0
10,1098,2,0,0
11,1098,2,0,0
12,1098,2,0,0
13,1098,2,0,0
14,1098,2,0,0
15,1098,2,0,0
16,1098,2,0,0
17,1098,2,0,0
18,1098,2,0,0
19,1098,2,0,0
20,1098,2,0,0
21,1098,2,0,0
22,1098,2,0,0
23,1098,2,0,0
24,1098,2,0,0
25,1098,2,0,0
26,1098,2,0,0
27,1098,2,0,0
28,1097,3,0,0
29,1096,4,0,0
30,1095,5,0,0
31,1095,5,0,0
32,1095,5,0,0
33,1095,5,0,0
34,1095,5,0,0
35,1095,5,0,0
36,1095,5,0,0
37,1095,5,0,0
38,1095,5,0,0
39,1095,5,0,0
40,1095,5,0,0
41,1093,7,0,0
42,1093,7,0,0
43,1093,7,0,0
44,1091,9,0,0
45,1090,10,0,0
46,1090,10,0,0
47,1089,11,0,0
48,1087,13,0,0
49,1087,13,0,0
50,1087,13,0,0
51,1087,13,0,0
52,1087,13,0,0
53,1087,13,0,0
54,1087,13,0,0
55,1087,13,0,0
56,1085,15,0,0
57,1085,15,0,0
58,1084,16,0,0
59,1084,16,0,0
60,1084,16,0,0
61,1083,15,2,0
62,1083,15,2,0
63,1083,15,2,0
64,1083,15,2,0
65,1082,16,2,0
66,1082,16,2,0
67,1081,17,2,0
68,1080,18,2,0
69,1079,19,2,0
70,1078,20,2,0
71,1077,21,2,0
72,1076,22,2,0
73,1076,22,2,0
74,1075,23,2,0
75,1072,26,2,0
76,1072,26,2,0
77,1071,27,2,0
78,1068,30,2,0
79,1067,31,2,0
80,1065,33,2,0
81,1063,35,2,0
82,1060,38,2,0
83,1058,40,2,0
84,1055,43,2,0
85,1055,43,2,0
86,1051,47,2,0
87,1051,47,2,0
88,1051,46,3,0
89,1049,47,4,0
90,1046,49,4,1
91,1045,50,4,1
92,1043,52,4,1
93,1041,54,4,1
94,1041,54,4,1
95,1039,56,4,1
96,1039,56,4,1
97,1037,58,4,1
98,1037,58,4,1
99,1035,60,4,1
100,1032,63,4,1
101,1028,65,5,2
102,1028,65,5,2
103,1024,69,5,2
104,1020,71,7,2
105,1016,74,8,2
106,1014,76,8,2
107,1012,77,9,2
108,1010,77,11,2
109,1008,79,11,2
110,1007,80,11,2
111,1003,84,11,2
112,1001,86,11,2
113,998,89,11,2
114,992,95,11,2
115,987,100,11,2
116,984,101,13,2
117,980,105,13,2
118,976,108,14,2
119,974,110,14,2
120,969,115,14,2
121,968,115,15,2
122,960,123,15,2
123,956,127,15,2
124,951,132,15,2
125,948,134,16,2
126,946,136,16,2
127,942,139,17,2
128,937,143,18,2
129,928,151,18,3
130,920,158,19,3
131,916,161,20,3
132,914,162,20,4
133,911,165,20,4
134,909,166,21,4
135,903,169,24,4
136,899,173,24,4
137,895,176,24,5
138,889,179,27,5
139,884,183,28,5
140,876,189,30,5
141,868,195,32,5
142,863,197,35,5
143,857,201,37,5
144,856,199,40,5
145,849,206,40,5
146,845,206,44,5
147,842,209,44,5
148,838,213,44,5
149,833,216,46,5
150,829,217,48,6
151,825,220,49,6
152,814,229,51,6
153,808,233,53,6
154,801,240,53,6
155,795,244,55,6
156,789,250,55,6
157,783,254,57,6
158,780,257,57,6
159,778,257,59,6
160,770,262,61,7
161,766,262,65,7
162,758,270,65,7
163,753,271,69,7
164,750,270,73,7
165,745,271,77,7
166,741,273,78,8
167,739,273,80,8
168,725,285,82,8
169,718,290,84,8
170,715,292,85,8
171,707,296,89,8
172,706,295,91,8
173,699,299,94,8
174,692,300,100,8
175,685,302,105,8
176,682,302,108,8
177,675,305,112,8
178,666,310,115,9
179,658,316,116,10
180,652,317,121,10
181,646,322,122,10
182,643,317,130,10
183,637,319,134,10
184,632,319,138,11
185,625,323,141,11
186,622,324,143,11
187,617,325,145,13
188,613,324,149,14
189,610,318,156,16
190,603,317,164,16
191,595,321,166,18
192,591,323,168,18
193,581,330,171,18
194,579,330,173,18
195,573,330,179,18
196,569,330,183,18
197,562,333,187,18
198,559,330,193,18
199,554,330,197,19
200,547,329,205,19
201,543,325,213,19
202,535,328,218,19
203,531,326,223,20
204,526,330,224,20
205,520,329,230,21
206,518,327,233,22
207,515,327,236,22
208,508,330,240,22
209,505,328,244,23
210,497,332,247,24
211,490,335,251,24
212,487,327,260,26
213,486,322,265,27
214,482,319,272,27
215,476,319,276,29
216,472,317,282,29
217,468,315,288,29
218,463,317,291,29
219,459,319,293,29
220,457,313,301,29
221,451,315,305,29
222,447,311,312,30
223,443,310,317,30
224,439,311,320,30
225,438,307,324,31
226,432,309,328,31
227,427,312,330,31
228,425,300,342,33
229,419,299,348,34
230,414,301,351,34
231,410,297,354,39
232,404,302,355,39
233,403,296,361,40
234,402,290,368,40
235,398,287,375,40
236,398,284,378,40
237,394,281,385,40
238,391,275,394,40
239,390,268,402,40
240,387,265,408,40
241,381,265,413,41
242,376,267,416,41
243,370,267,422,41
244,369,263,424,44
245,366,259,431,44
246,360,262,434,44
247,358,259,438,45
248,358,255,441,46
249,356,254,444,46
250,354,249,451,46
251,352,243,459,46
252,351,240,463,46
253,350,231,471,48
254,347,232,473,48
255,345,228,479,48
256,341,228,482,49
257,340,222,488,50
258,335,224,491,50
259,331,223,496,50
260,329,218,503,50
261,325,218,507,50
262,320,215,515,50
263,320,211,519,50
264,319,207,523,51
265,316,204,528,52
266,316,202,529,53
267,314,201,530,55
268,313,195,537,55
269,312,193,540,55
270,312,185,548,55
271,312,178,554,56
272,311,176,557,56
273,311,175,558,56
274,310,172,562,56
275,310,166,568,56
276,310,162,571,57
277,309,159,575,57
278,309,154,578,59
279,308,151,581,60
280,308,149,583,60
281,306,145,589,60
282,302,145,592,61
283,302,141,596,61
284,301,138,599,62
285,299,139,600,62
286,297,135,605,63
287,296,131,610,63
288,296,129,612,63
289,296,123,618,63
290,294,120,623,63
291,294,116,626,64
292,293,111,632,64
293,293,110,633,64
294,293,109,634,64
295,292,106,638,64
296,292,106,638,64
297,292,102,642,64
298,292,99,644,65
299,291,99,645,65
300,291,96,648,65
301,291,90,654,65
302,291,85,659,65
303,291,79,665,65
304,291,78,666,65
305,291,75,669,65
306,291,69,675,65
307,291,67,677,65
308,291,67,677,65
309,290,66,679,65
310,290,64,681,65
311,290,62,683,65
312,290,61,684,65
313,290,60,685,65
314,290,57,688,65
315,289,56,689,66
316,289,52,692,67
317,289,51,693,67
318,289,46,698,67
319,288,43,702,67
320,287,42,703,68
321,287,38,707,68
322,286,34,712,68
323,286,34,712,68
324,286,33,713,68
325,286,30,715,69
326,286,30,715,69
327,286,28,717,69
328,286,27,718,69
329,286,26,718,70
330,286,26,718,70
331,286,26,718,70
332,286,25,719,70
333,286,25,719,70
334,286,24,720,70
335,286,24,720,70
336,286,24,720,70
337,286,23,721,70
338,286,23,721,70
339,286,22,722,70
340,286,22,722,70
341,286,20,724,70
342,286,16,728,70
343,286,16,728,70
344,286,15,729,70
345,286,13,731,70
346,286,11,733,70
347,286,10,734,70
348,286,10,734,70
349,286,10,734,70
350,286,8,736,70
351,286,8,736,70
352,286,7,737,70
353,286,7,737,70
354,286,7,737,70
355,284,8,738,70
356,283,9,738,70
357,283,9,738,70
358,283,9,738,70
359,283,8,739,70
360,283,8,739,70
361,283,8,739,70
362,283,8,739,70
363,283,8,739,70
364,283,8,739,70
365,283,8,739,70
366,283,8,739,70
367,283,8,739,70
368,283,8,739,70
369,283,7,740,70
370,283,7,740,70
371,283,7,740,70
372,283,7,740,70
373,283,7,740,70
374,283,7,740,70
375,283,6,741,70
376,283,6,741,70
377,283,6,741,70
378,283,6,741,70
379,283,5,742,70
380,283,4,743,70
381,283,4,743,70
382,283,3,744,70
383,283,3,744,70
384,283,3,744,70
385,283,3,744,70
386,283,3,744,70
387,283,3,744,70
388,283,3,744,70
389,283,3,744,70
390,283,3,744,70
391,283,3,744,70
392,283,3,744,70
393,283,3,744,70
394,283,3,744,70
395,283,3,744,70
396,283,3,744,70
397,283,3,744,70
398,283,3,744,70
399,283,3,744,70
400,283,3,744,70
401,283,3,744,70
402,283,3,744,70
403,283,3,744,70
404,282,4,744,70
405,282,4,744,70
406,282,4,744,70
407,282,4,744,70
408,282,4,744,70
409,282,4,744,70
410,282,4,744,70
411,282,4,744,70
412,282,4,744,70
413,282,4,744,70
414,282,4,744,70
415,282,2,745,71
416,282,1,746,71
417,282,1,746,71
418,282,1,746,71
419,282,1,746,71
420,282,1,746,71
421,282,1,746,71
422,282,1,746,71
423,282,1,746,71
424,282,1,746,71
425,282,1,746,71
426,282,1,746,71
427,282,1,746,71
428,282,1,746,71
429,282,1,746,71
430,282,1,746,71
431,282,1,746,71
432,282,1,746,71
433,282,1,746,71
434,282,1,746,71
435,282,1,746,71
436,282,1,746,71
437,282,1,746,71
438,282,1,746,71
439,282,1,746,71
440,282,1,746,71
441,282,1,746,71
442,282,1,746,71
443,282,1,746,71
444,282,1,746,71
445,282,1,746,71
446,282,1,746,71
447,281,2,746,71
448,281,2,746,71
449,281,2,746,71
450,281,2,746,71
451,281,2,746,71
452,281,2,746,71
453,281,2,746,71
454,281,2,746,71
455,281,2,746,71
456,281,2,746,71
457,281,2,746,71
458,281,2,746,71
459,281,2,746,71
460,281,2,746,71
461,281,2,746,71
462,281,2,746,71
463,281,2,746,71
464,281,1,747,71
465,281,1,747,71
466,281,1,747,71
467,281,1,747,71
468,281,1,747,71
469,281,1,747,71
470,281,1,747,71
471,281,1,747,71
472,281,1,747,71
473,281,1,747,71
474,281,1,747,71
475,281,1,747,71
476,281,1,747,71
477,281,1,747,71
478,281,1,747,71
479,281,1,747,71
480,281,1,747,71
