Time, Susceptible, Infected, Recovered, Dead
1,1099,1,0,0
2,1099,1,0,0
3,1099,1,0,0
4,1099,1,0,0
5,1099,1,0,0
6,1099,1,0,0
7,1099,1,0,0
8,1099,1,0,0
9,1099,1,0,0
10,1099,1,0,0
11,1099,1,0,0
12,1099,1,0,0
13,1099,1,0,0
14,1099,1,0,0
15,1099,1,0,0
16,1099,1,0,0
17,1099,1,0,0
18,1099,1,0,0
19,1099,1,0,0
20,1099,1,0,0
21,1099,1,0,0
22,1098,2,0,0
23,1098,2,0,0
24,1098,2,0,0
25,1098,2,0,0
26,1098,2,0,0
27,1097,3,0,0
28,1096,4,0,0
29,1095,5,0,0
30,1095,5,0,0
31,1095,5,0,0
32,1095,5,0,0
33,1095,5,0,0
34,1093,7,0,0
35,1093,7,0,0
36,1093,7,0,0
37,1093,7,0,0
38,1092,8,0,0
39,1092,8,0,0
40,1092,8,0,0
41,1091,9,0,0
42,1091,9,0,0
43,1090,10,0,0
44,1090,10,0,0
45,1088,12,0,0
46,1088,12,0,0
47,1087,13,0,0
48,1087,13,0,0
49,1085,15,0,0
50,1085,15,0,0
51,1084,16,0,0
52,1082,18,0,0
53,1079,21,0,0
54,1078,22,0,0
55,1076,24,0,0
56,1075,25,0,0
57,1075,25,0,0
58,1075,25,0,0
59,1072,28,0,0
60,1071,29,0,0
61,1070,29,1,0
62,1066,33,1,0
63,1066,33,1,0
64,1064,35,1,0
65,1060,39,1,0
66,1059,40,1,0
67,1057,42,1,0
68,1056,43,1,0
69,1055,44,1,0
70,1054,45,1,0
71,1048,51,1,0
72,1047,52,1,0
73,1044,55,1,0
74,1042,57,1,0
75,1039,60,1,0
76,1033,66,1,0
77,1031,68,1,0
78,1029,70,1,0
79,1026,73,1,0
80,1022,77,1,0
81,1017,82,1,0
82,1011,87,2,0
83,1005,93,2,0
84,999,99,2,0
85,994,104,2,0
86,990,108,2,0
87,984,113,3,0
88,978,118,4,0
89,976,119,5,0
90,971,124,5,0
91,965,130,5,0
92,961,134,5,0
93,953,142,5,0
94,950,143,7,0
95,945,148,7,0
96,943,150,7,0
97,938,155,7,0
98,933,159,8,0
99,930,162,8,0
100,926,166,8,0
101,916,175,9,0
102,907,184,9,0
103,897,193,10,0
104,893,197,10,0
105,885,203,12,0
106,881,207,12,0
107,873,214,13,0
108,861,226,13,0
109,849,236,14,1
110,840,245,14,1
111,833,251,15,1
112,829,253,17,1
113,819,260,19,2
114,810,268,20,2
115,804,272,22,2
116,793,282,23,2
117,783,292,23,2
118,775,300,23,2
119,770,302,26,2
120,759,312,27,2
121,748,322,28,2
122,737,329,32,2
123,732,334,32,2
124,722,342,34,2
125,714,346,38,2
126,707,352,39,2
127,698,359,41,2
128,695,361,42,2
129,686,369,43,2
130,681,373,44,2
131,674,374,50,2
132,665,382,51,2
133,658,386,54,2
134,649,393,55,3
135,638,401,58,3
136,633,400,64,3
137,622,409,66,3
138,615,414,67,4
139,608,418,70,4
140,597,425,73,5
141,589,428,76,7
142,580,431,82,7
143,573,432,88,7
144,558,441,94,7
145,550,444,99,7
146,544,446,102,8
147,535,449,108,8
148,528,450,114,8
149,519,457,116,8
150,510,461,120,9
151,501,464,125,10
152,492,469,128,11
153,481,472,134,13
154,472,478,137,13
155,465,480,142,13
156,456,487,144,13
157,447,491,149,13
158,438,495,154,13
159,417,513,157,13
160,409,517,160,14
161,406,510,169,15
162,394,513,176,17
163,384,513,185,18
164,378,515,189,18
165,368,517,197,18
166,361,520,200,19
167,353,520,207,20
168,348,513,219,20
169,338,511,229,22
170,330,510,238,22
171,323,510,242,25
172,319,510,246,25
173,309,510,253,28
174,304,506,261,29
175,291,513,267,29
176,280,513,277,30
177,276,507,285,32
178,272,503,293,32
179,265,505,298,32
180,261,498,307,34
181,257,491,316,36
182,250,487,327,36
183,241,491,331,37
184,236,486,341,37
185,228,486,347,39
186,225,482,354,39
187,222,476,361,41
188,215,480,364,41
189,209,477,373,41
190,204,477,378,41
191,199,475,384,42
192,192,473,393,42
193,187,471,397,45
194,181,468,406,45
195,180,458,416,46
196,175,458,421,46
197,171,451,431,47
198,165,450,437,48
199,160,448,443,49
200,157,440,454,49
201,153,436,462,49
202,147,433,469,51
203,144,429,475,52
204,139,419,489,53
205,135,415,495,55
206,134,410,501,55
207,133,402,508,57
208,132,396,515,57
209,129,390,520,61
210,129,381,528,62
211,128,373,536,63
212,126,366,544,64
213,123,358,554,65
214,120,352,560,68
215,116,349,567,68
216,113,343,576,68
217,112,335,584,69
218,108,330,591,71
219,105,312,609,74
220,103,306,616,75
221,99,307,619,75
222,98,296,630,76
223,96,288,638,78
224,96,282,644,78
225,95,273,653,79
226,95,266,660,79
227,94,259,667,80
228,93,255,672,80
