Time, Susceptible, Infected, Recovered, Dead
1,1099,1,0,0
2,1099,1,0,0
3,1099,1,0,0
4,1099,1,0,0
5,1099,1,0,0
6,1099,1,0,0
7,1099,1,0,0
8,1099,1,0,0
9,1099,1,0,0
10,1099,1,0,0
11,1099,1,0,0
12,1099,1,0,0
13,1099,1,0,0
14,1099,1,0,0
15,1099,1,0,0
16,1099,1,0,0
17,1099,1,0,0
18,1099,1,0,0
19,1099,1,0,0
20,1099,1,0,0
21,1099,1,0,0
22,1099,1,0,0
23,1099,1,0,0
24,1099,1,0,0
25,1099,1,0,0
26,1099,1,0,0
27,1099,1,0,0
28,1098,2,0,0
29,1098,2,0,0
30,1097,3,0,0
31,1097,3,0,0
32,1097,3,0,0
33,1097,3,0,0
34,1097,3,0,0
35,1097,3,0,0
36,1097,3,0,0
37,1097,3,0,0
38,1097,3,0,0
39,1097,3,0,0
40,1097,3,0,0
41,1097,3,0,0
42,1097,3,0,0
43,1097,3,0,0
44,1097,3,0,0
45,1097,3,0,0
46,1097,3,0,0
47,1096,4,0,0
48,1096,4,0,0
49,1096,4,0,0
50,1096,4,0,0
51,1096,4,0,0
52,1095,5,0,0
53,1094,6,0,0
54,1094,6,0,0
55,1094,6,0,0
56,1094,6,0,0
57,1094,6,0,0
58,1094,6,0,0
59,1093,7,0,0
60,1093,7,0,0
61,1093,6,1,0
62,1093,6,1,0
63,1093,6,1,0
64,1092,7,1,0
65,1092,7,1,0
66,1092,7,1,0
67,1092,7,1,0
68,1091,8,1,0
69,1091,8,1,0
70,1091,8,1,0
71,1091,8,1,0
72,1091,8,1,0
73,1090,9,1,0
74,1089,10,1,0
75,1089,10,1,0
76,1089,10,1,0
77,1089,10,1,0
78,1089,10,1,0
79,1089,10,1,0
80,1089,10,1,0
81,1088,11,1,0
82,1087,12,1,0
83,1087,12,1,0
84,1087,12,1,0
85,1086,13,1,0
86,1086,13,1,0
87,1086,13,1,0
88,1086,12,2,0
89,1086,12,2,0
90,1083,14,3,0
91,1083,14,3,0
92,1080,17,3,0
93,1079,18,3,0
94,1079,18,3,0
95,1079,18,3,0
96,1078,19,3,0
97,1078,19,3,0
98,1075,22,3,0
99,1075,22,3,0
100,1075,22,3,0
101,1073,24,3,0
102,1068,29,3,0
103,1066,31,3,0
104,1064,33,3,0
105,1063,34,3,0
106,1062,35,3,0
107,1060,36,4,0
108,1059,37,4,0
109,1059,37,4,0
110,1058,38,4,0
111,1057,39,4,0
112,1056,39,5,0
113,1054,40,6,0
114,1051,43,6,0
115,1047,47,6,0
116,1046,48,6,0
117,1044,50,6,0
118,1043,51,6,0
119,1043,50,7,0
120,1041,52,7,0
121,1040,53,7,0
122,1039,54,7,0
123,1036,57,7,0
124,1035,57,8,0
125,1032,60,8,0
126,1029,63,8,0
127,1027,65,8,0
128,1025,66,9,0
129,1023,68,9,0
130,1018,73,9,0
131,1013,78,9,0
132,1010,81,9,0
133,1009,81,10,0
134,1005,84,11,0
135,1001,88,11,0
136,998,91,11,0
137,990,99,11,0
138,983,106,11,0
139,978,111,11,0
140,972,117,11,0
141,968,120,12,0
142,962,125,13,0
143,961,126,13,0
144,959,128,13,0
145,956,130,13,1
146,950,136,13,1
147,948,138,13,1
148,944,142,13,1
149,939,147,13,1
150,935,148,16,1
151,931,152,16,1
152,923,157,19,1
153,919,160,20,1
154,916,163,20,1
155,911,168,20,1
156,903,175,21,1
157,898,180,21,1
158,894,181,23,2
159,885,190,23,2
160,883,192,23,2
161,877,196,25,2
162,873,195,30,2
163,870,196,32,2
164,861,203,34,2
165,855,208,35,2
166,851,211,36,2
167,845,215,38,2
168,836,223,39,2
169,834,225,39,2
170,819,239,39,3
171,812,245,40,3
172,806,250,41,3
173,800,254,42,4
174,792,259,44,5
175,790,257,47,6
176,777,269,48,6
177,770,274,50,6
178,766,277,51,6
179,757,286,51,6
180,748,293,53,6
181,740,300,53,7
182,729,310,54,7
183,719,317,57,7
184,713,322,58,7
185,706,326,61,7
186,702,327,64,7
187,694,333,66,7
188,687,338,68,7
189,673,350,70,7
190,666,352,75,7
191,659,354,80,7
192,651,359,83,7
193,639,370,84,7
194,625,380,88,7
195,611,390,91,8
196,601,397,94,8
197,594,396,102,8
198,587,396,109,8
199,580,398,114,8
200,570,402,119,9
201,563,405,123,9
202,552,410,127,11
203,541,420,128,11
204,536,423,129,12
205,524,432,132,12
206,517,433,137,13
207,508,440,139,13
208,496,448,143,13
209,491,448,148,13
210,481,454,152,13
211,469,462,156,13
212,462,461,162,15
213,455,464,166,15
214,442,474,169,15
215,438,473,174,15
216,434,469,181,16
217,432,466,186,16
218,418,476,190,16
219,415,470,197,18
220,405,478,198,19
221,399,478,202,21
222,391,482,205,22
223,384,486,208,22
