Time, Susceptible, Infected, Recovered, Dead
1,1099,1,0,0
2,1099,1,0,0
3,1099,1,0,0
4,1099,1,0,0
5,1099,1,0,0
6,1099,1,0,0
7,1099,1,0,0
8,1098,2,0,0
9,1097,3,0,0
10,1097,3,0,0
11,1097,3,0,0
12,1097,3,0,0
13,1097,3,0,0
14,1097,3,0,0
15,1097,3,0,0
16,1096,4,0,0
17,1095,5,0,0
18,1095,5,0,0
19,1094,6,0,0
20,1094,6,0,0
21,1094,6,0,0
22,1094,6,0,0
23,1092,8,0,0
24,1092,8,0,0
25,1092,8,0,0
26,1092,8,0,0
27,1092,8,0,0
28,1092,8,0,0
29,1092,8,0,0
30,1092,8,0,0
31,1092,8,0,0
32,1092,8,0,0
33,1092,8,0,0
34,1092,8,0,0
35,1090,10,0,0
36,1090,10,0,0
37,1090,10,0,0
38,1090,10,0,0
39,1090,10,0,0
40,1088,12,0,0
41,1088,12,0,0
42,1088,12,0,0
43,1088,12,0,0
44,1088,12,0,0
45,1088,12,0,0
46,1088,12,0,0
47,1088,12,0,0
48,1087,13,0,0
49,1084,16,0,0
50,1083,17,0,0
51,1083,17,0,0
52,1082,18,0,0
53,1081,19,0,0
54,1081,19,0,0
55,1078,22,0,0
56,1078,22,0,0
57,1077,23,0,0
58,1077,23,0,0
59,1076,24,0,0
60,1076,24,0,0
61,1076,23,1,0
62,1075,24,1,0
63,1074,25,1,0
64,1073,26,1,0
65,1072,27,1,0
66,1072,27,1,0
67,1071,28,1,0
68,1069,29,2,0
69,1067,30,3,0
70,1065,32,3,0
71,1060,37,3,0
72,1060,37,3,0
73,1058,39,3,0
74,1054,43,3,0
75,1049,48,3,0
76,1047,49,4,0
77,1046,49,5,0
78,1045,50,5,0
79,1038,56,6,0
80,1031,63,6,0
81,1029,65,6,0
82,1024,70,6,0
83,1022,70,7,1
84,1021,71,7,1
85,1015,77,7,1
86,1012,80,7,1
87,1006,86,7,1
88,1002,90,7,1
89,996,96,7,1
90,993,99,7,1
91,989,103,7,1
92,985,107,7,1
93,981,111,7,1
94,975,117,7,1
95,971,119,9,1
96,970,120,9,1
97,967,123,9,1
98,961,129,9,1
99,957,133,9,1
100,954,134,11,1
101,947,141,11,1
102,941,147,11,1
103,933,155,11,1
104,925,163,11,1
105,923,165,11,1
106,915,173,11,1
107,905,183,11,1
108,894,193,12,1
109,885,199,15,1
110,877,206,15,2
111,864,219,15,2
112,855,227,16,2
113,848,233,17,2
114,832,249,17,2
115,824,254,20,2
116,818,260,20,2
117,809,268,21,2
118,801,276,21,2
119,792,284,22,2
120,780,296,22,2
121,772,304,22,2
122,758,317,23,2
123,750,324,24,2
124,734,339,25,2
125,726,346,26,2
126,717,355,26,2
127,702,369,27,2
128,696,373,28,3
129,686,381,30,3
130,678,387,32,3
131,664,396,36,4
132,646,414,36,4
133,638,420,38,4
134,619,435,41,5
135,604,445,45,6
136,596,451,47,6
137,589,457,48,6
138,575,470,48,7
139,562,476,53,9
140,548,483,59,10
141,533,496,61,10
142,526,498,66,10
143,516,506,68,10
144,502,519,69,10
145,495,520,74,11
146,491,521,77,11
147,484,522,82,12
148,473,529,86,12
149,461,535,92,12
150,451,542,95,12
151,443,546,99,12
152,434,551,103,12
153,416,565,105,14
154,405,570,111,14
155,390,581,114,15
156,383,587,115,15
157,375,592,118,15
158,366,595,124,15
159,358,599,128,15
160,343,611,131,15
161,337,610,138,15
162,328,613,143,16
163,321,612,150,17
164,310,615,158,17
165,305,618,160,17
166,294,621,168,17
167,283,622,176,19
168,262,632,186,20
169,251,634,195,20
170,246,631,203,20
171,233,631,215,21
172,228,627,224,21
173,216,632,230,22
174,213,619,242,26
175,204,620,248,28
176,199,619,253,29
177,193,616,262,29
178,185,616,270,29
179,178,614,277,31
180,171,609,289,31
181,166,606,297,31
182,163,595,310,32
183,159,591,318,32
184,154,580,333,33
185,149,577,341,33
186,141,576,349,34
187,137,565,363,35
188,132,564,369,35
189,131,555,378,36
190,125,553,385,37
191,119,545,396,40
192,117,529,411,43
193,114,524,418,44
194,110,509,436,45
195,105,499,451,45
196,99,497,459,45
197,96,493,466,45
198,92,483,480,45
199,88,474,490,48
200,88,460,503,49
201,85,448,517,50
202,83,443,523,51
203,81,435,530,54
204,80,422,543,55
205,79,416,548,57
206,78,413,551,58
207,75,409,557,59
208,73,400,567,60
209,72,389,579,60
210,71,380,589,60
211,68,375,596,61
212,65,369,603,63
213,63,353,619,65
214,61,344,627,68
215,59,331,642,68
216,58,325,649,68
217,58,317,656,69
218,56,310,664,70
219,55,303,670,72
220,53,290,685,72
221,53,284,691,72
222,52,276,700,72
223,51,270,707,72
224,51,259,717,73
225,50,255,721,74
226,48,246,731,75
227,48,235,741,76
228,47,215,761,77
